entry,stop_loss,target,entry_index,result,swing_high,swing_low,index
189.57,167.58,233.55,37,WIN,185.31,167.58,26
205.56,167.58,281.51,52,WIN,191.34,167.58,39
224.6,167.58,338.64,68,WIN,218.51,167.58,53
226.54,194.5,290.63,105,LOSS,225.35,194.5,98
234.32,222.56,257.85,144,LOSS,231.48,222.56,128
236.04,223.05,262.02,171,LOSS,228.91,223.05,164
256.8,240.44,289.52,188,LOSS,249.44,240.44,179
211.8,194.48,246.43,316,WIN,203.05,194.48,311
245.03,224.26,286.57,371,WIN,232.97,224.26,356
268.3,253.47,297.96,397,LOSS,258.75,253.47,381
278.59,266.42,302.92,420,LOSS,272.88,266.42,405
